State,Obesity,
WV,0.38,
MS,0.37,
AL,0.36,
AR,0.36,
LA,0.36,
TN,0.35,
KY,0.34,
TX,0.34,
OK,0.33,
MI,0.33,
IN,0.33,
SC,0.32,
NE,0.32,
IA,0.32,
ND,0.32,
NC,0.32,
MO,0.32,
IL,0.32,
OH,0.32,
GA,0.31,
AL,0.31,
KS,0.31,
WI,0.31,
DE,0.31,
PA,0.30,
ME,0.30,
MD,0.30,
SD,0.30,
AZ,0.29,
VA,0.29,
OR,0.29,
WA,0.29,
NM,0.28,
MN,0.28,
WY,0.28,
FL,0.27,
NJ,0.27,
ID,0.27,
VT,0.27,
NH,0.27,
RI,0.27,
CT,0.26,
NV,0.26,
NY,0.26,
MT,0.26,
UT,0.25,
CA,0.25,
HI,0.24,
MA,0.24,
DC,0.23,
CO,0.22,
